Location,PctChg2010to2020,NumChg2010to2020
United States,7.4,22703743
Utah,18.4,507731
Idaho,17.3,271524
Texas,15.9,3999944
North Dakota,15.8,106503
Nevada,15,404063
Colorado,14.8,744518
District of Columbia,14.6,87822
Florida,14.6,2736877
Washington,14.6,980741
Arizona,11.9,759485
South Carolina,10.7,493061
Georgia,10.6,1024255
Oregon,10.6,406182
Delaware,10.2,92014
Montana,9.6,94810
North Carolina,9.5,903905
South Dakota,8.9,72487
Tennessee,8.9,564735
Virginia,7.9,630369
Minnesota,7.6,402569
Massachusetts,7.4,482288
Nebraska,7.4,135163
Hawaii,7,94970
Maryland,7,403672
California,6.1,2284267
New Jersey,5.7,497100
Oklahoma,5.5,208002
Alabama,5.1,244543
Indiana,4.7,301726
Iowa,4.7,144014
New Hampshire,4.6,61059
Rhode Island,4.3,44812
New York,4.2,823147
Kentucky,3.8,166469
Wisconsin,3.6,206732
Alaska,3.3,23160
Arkansas,3.3,95606
Kansas,3,84762
Missouri,2.8,165986
New Mexico,2.8,58343
Vermont,2.8,17336
Louisiana,2.7,124385
Maine,2.6,33998
Pennsylvania,2.4,300321
Ohio,2.3,262944
Wyoming,2.3,13225
Michigan,2,193691
Connecticut,0.9,31847
Illinois,-0.1,-18124
Mississippi,-0.2,-6018
West Virginia,-3.2,-59278
Puerto Rico,-11.8,-439915
