State,severeRentBurdenPerc
United States,24.44
Louisiana,28.65
Florida,27.97
Hawaii,27.06
California,27.06
New York,26.29
Delaware,25.91
Connecticut,25.29
Vermont,24.72
Mississippi,24.71
New Jersey,24.69
Maryland,24.54
Massachusetts,24.16
Nevada,24.11
Michigan,23.99
West Virginia,23.95
Oregon,23.82
Alabama,23.79
Colorado,23.66
Pennsylvania,23.35
South Carolina,23.33
Georgia,22.89
Illinois,22.54
Tennessee,22.47
Texas,22.31
Rhode Island,22.29
New Hampshire,22.08
Arizona,21.87
Montana,21.8
New Mexico,21.73
North Carolina,21.71
Washington,21.52
Kentucky,21.49
Virginia,21.33
Ohio,21.27
Indiana,21.01
Minnesota,20.91
Missouri,20.71
Iowa,20.69
Alaska,20.38
Oklahoma,20.36
Wisconsin,20.22
Arkansas,19.91
Kansas,19.76
Idaho,19.65
Utah,19.51
Wyoming,19.44
Maine,18.53
North Dakota,18.17
Nebraska,17.86
District of Columbia,17.83
South Dakota,15.81
